tahun,nama_kabkota,jenis_tanaman,luas_panen,produksi
2011,Jakarta Selatan,Jahe,6165,17524
2011,Jakarta Selatan,Lengkuas,2904,5150
2011,Jakarta Selatan,Kencur,216,1052
2011,Jakarta Selatan,Kunyit,1148,7825
2011,Jakarta Selatan,Lempuyang,164,727
2011,Jakarta Selatan,Temulawak,333,730
2011,Jakarta Selatan,Temuireng,124,459
2011,Jakarta Selatan,Kejibeling,180,1068
2011,Jakarta Timur,Jahe,6100,5407
2011,Jakarta Timur,Lengkuas,1633,2062
2011,Jakarta Timur,Kencur,1342,2577
2011,Jakarta Timur,Kunyit,3282,4538
2011,Jakarta Timur,Lempuyang,334,254
2011,Jakarta Timur,Temulawak,721,799
2011,Jakarta Timur,Temuireng,447,844
2011,Jakarta Timur,Kejibeling,662,793
2011,Jakarta Pusat,Jahe,1,11
2011,Jakarta Pusat,Lengkuas,2,4
2011,Jakarta Pusat,Kencur,1,2
2011,Jakarta Pusat,Kunyit,1,3
2011,Jakarta Pusat,Lempuyang,1,2
2011,Jakarta Pusat,Temulawak,129,83
2011,Jakarta Pusat,Temuireng,70,43
2011,Jakarta Pusat,Kejibeling,1,65
2011,Jakarta Barat,Jahe,498,1101
2011,Jakarta Barat,Lengkuas,184,457
2011,Jakarta Barat,Kencur,-,-
2011,Jakarta Barat,Kunyit,432,1080
2011,Jakarta Barat,Lempuyang,28,47
2011,Jakarta Barat,Temulawak,270,554
2011,Jakarta Barat,Temuireng,-,-
2011,Jakarta Barat,Kejibeling,235,523
2011,Jakarta Utara,Jahe,102,182
2011,Jakarta Utara,Lengkuas,76,98
2011,Jakarta Utara,Kencur,16,27
2011,Jakarta Utara,Kunyit,68,86
2011,Jakarta Utara,Lempuyang,1,2
2011,Jakarta Utara,Temulawak,-,-
2011,Jakarta Utara,Temuireng,1,1
2011,Jakarta Utara,Kejibeling,15,27
